0 ; 64
-1 ; 66
-2 ; 66
-3 ; 66
-4 ; 67
-5 ; 68
-7 ; 68
-7 ; 68
-8 ; 68
-11 ; 70
-12 ; 72
-14 ; 74
-15 ; 76
-17 ; 78
-20 ; 80
-21 ; 81
-20 ; 79
-19 ; 77
-18 ; 74
-17 ; 72
-15 ; 69
-13 ; 66
-15 ; 67
-19 ; 69
-21 ; 70
-23 ; 72
-25 ; 75
-28 ; 78
-31 ; 80
-32 ; 82
-31 ; 78
-31 ; 75
-30 ; 72
-28 ; 69
-24 ; 66
-20 ; 65
-17 ; 62
-12 ; 60
-8 ; 59
-4 ; 59
-1 ; 58
2 ; 58
4 ; 57
7 ; 57
8 ; 55
4 ; 55
0 ; 54
-3 ; 53
-5 ; 51
-7 ; 51
-8 ; 51
-9 ; 51
-11 ; 51
-12 ; 51
-12 ; 50
-15 ; 50
-16 ; 49
-18 ; 49
-20 ; 49
-23 ; 47
-25 ; 45
-26 ; 43
-28 ; 40
-29 ; 37
-28 ; 35
-25 ; 38
-23 ; 36
-25 ; 33
-23 ; 32
-20 ; 33
-18 ; 34
-15 ; 35
-10 ; 35
-7 ; 36
-3 ; 36
-1 ; 37
0 ; 35
2 ; 32
0 ; 29
-2 ; 26
-3 ; 24
-5 ; 23
-8 ; 24
-10 ; 25
-11 ; 25
-13 ; 26
-17 ; 26
-21 ; 26
-24 ; 23
-28 ; 22
-32 ; 19
-33 ; 15
-35 ; 11
-35 ; 6
-37 ; 3
-38 ; 0
-38 ; -4
-37 ; -9
-37 ; -13
-37 ; -18
-37 ; -22
-36 ; -28
-38 ; -33
-40 ; -38
-43 ; -45
-43 ; -50
-43 ; -53
-42 ; -59
-42 ; -63
-41 ; -69
-40 ; -73
-40 ; -78
-39 ; -81
-32 ; -81
-35 ; -78
-35 ; -71
-36 ; -60
-37 ; -51
-34 ; -46
-33 ; -40
-30 ; -35
-29 ; -30
-26 ; -27
-24 ; -29
-26 ; -33
-28 ; -38
-31 ; -45
-28 ; -51
-27 ; -57
-25 ; -62
-23 ; -69
-21 ; -74
-17 ; -78
-13 ; -79
-15 ; -74
-17 ; -69
-19 ; -65
-19 ; -61
-20 ; -55
-20 ; -52
-22 ; -47
-22 ; -44
-16 ; -34
-16 ; -30
-17 ; -21
-16 ; -16
-16 ; -21
-16 ; -29
-15 ; -33
-14 ; -39
-13 ; -45
-12 ; -51
-9 ; -55
-8 ; -58
-9 ; -63
-11 ; -69
-12 ; -76
-13 ; -81
-4 ; -82
-4 ; -78
-4 ; -75
-5 ; -70
-5 ; -63
-5 ; -60
-3 ; -55
-3 ; -53
-4 ; -47
-3 ; -41
-3 ; -35
-1 ; -30
-1 ; -26
2 ; -28
4 ; -27
7 ; -27
7 ; -32
7 ; -40
7 ; -46
5 ; -49
7 ; -53
7 ; -59
8 ; -66
8 ; -75
8 ; -82
12 ; -81
12 ; -53
13 ; -49
14 ; -45
13 ; -41
14 ; -38
15 ; -35
16 ; -30
16 ; -25
16 ; -21
18 ; -18
18 ; -15
18 ; -8
19 ; 1
20 ; 13
22 ; 21
20 ; 32
19 ; 36
17 ; 44
15 ; 49
13 ; 52
11 ; 55
11 ; 56
16 ; 57
20 ; 59
24 ; 60
28 ; 62
32 ; 66
35 ; 69
38 ; 72
41 ; 76
39 ; 81
36 ; 76
30 ; 80
25 ; 73
23 ; 73
25 ; 79
17 ; 72
14 ; 72
17 ; 78
11 ; 71
0 ; 66
0 ; 64
