-16.0 ; 51.0
-24.0 ; 56.0
-25.0 ; 59.0
-26.0 ; 64.0
-29.0 ; 71.0
-29.0 ; 58.0
-34.0 ; 63.0
-39.0 ; 73.0
-41.0 ; 68.0
-39.0 ; 61.0
-35.0 ; 55.0
-30.0 ; 51.0
-25.0 ; 49.0
-22.0 ; 48.0
-15.0 ; 46.0
-7.0 ; 46.0
-5.0 ; 44.0
-4.0 ; 41.0
-8.0 ; 39.0
-10.0 ; 39.0
-13.0 ; 39.0
-15.0 ; 37.0
-20.0 ; 35.0
-26.0 ; 34.0
-30.0 ; 33.0
-31.0 ; 33.0
-34.0 ; 32.0
-36.0 ; 26.0
-36.0 ; 22.0
-34.0 ; 20.0
-32.0 ; 22.0
-31.0 ; 22.0
-29.0 ; 21.0
-31.0 ; 19.0
-29.0 ; 18.0
-26.0 ; 19.0
-24.0 ; 21.0
-19.0 ; 22.0
-16.0 ; 24.0
-11.0 ; 25.0
-8.0 ; 25.0
-4.0 ; 21.0
-10 ; 12
-14 ; 12
-16 ; 12
-19 ; 13
-22 ; 14
-27 ; 13
-30 ; 11
-34 ; 9
-37 ; 3
-38 ; -2
-39 ; -11
-38 ; -15
-36 ; -18
-35 ; -21
-33 ; -23
-33 ; -26
-33 ; -28
-33 ; -26
