-16 ; 51
-24 ; 56
-25 ; 59
-26 ; 64
-29 ; 71
-29 ; 58
-34 ; 63
-39 ; 73
-41 ; 68
-39 ; 61
-35 ; 55
-30 ; 51
-25 ; 49
-22 ; 48
-15 ; 46
-7 ; 46
-5 ; 44
-4 ; 41
-8 ; 39
-10 ; 39
-13 ; 39
-15 ; 37
-20 ; 35
-26 ; 34
-30 ; 33
-31 ; 33
-34 ; 32
-36 ; 26
-36 ; 22
-34 ; 20
-32 ; 22
-31 ; 22
-29 ; 21
-31 ; 19
-29 ; 18
-26 ; 19
-24 ; 21
-19 ; 22
-16 ; 24
-11 ; 25
-8 ; 25
-4 ; 21
-7 ; 14
-8 ; 12
-13 ; 8
-18 ; 10
-24 ; 10
-30 ; 4
-34 ; 3
-37 ; -8
-36 ; -17
-35 ; -24
-28 ; -34
